"cid";"cname";"company";"artist";"writer";"programmer";"developer";"engine";"director";"gid"
"1";"Rockstar Games";"Colin Anderson, Craig Conner, Grant Middleton";"Ian McQue";"Brian Baglow, Brian Lawson";"Keith R. Hamilton";"DMA Design, Tarantula Studios";"Rockstar Advanced Game Engine (RAGE)";"Keith R. Hamilton";"1"
"2";"Rockstar Games";"Colin Anderson, Craig Conner, Bert Reid, Stuart Ross, Paul Scargill, Anthony Paton";"Ian McQue, Russel East";"Dan Houser";"Keith R. Hamilton, Martin McKenzie";"DMA Design, Tarantula Studios";"Rockstar Advanced Game Engine (RAGE)";"Jim Woods, David Jones, Simon Crisp?";"2"
"3";"Rockstar Games";"Craig Conner, Stuart Ross";"Aaron Garbut";"James Worrall, Paul Kurowski, Dan Houser";"Obbe Vermeij, Adam Fowler";"DMA Design";"RenderWare";;"3"
"4";"Rockstar North";"Lex Horton";"Aaron Garbut";"Dan Houser, James Worrall";"Obbe Vermeij, Adam Fowler, Alexander Roger";"Rockstar North";"RenderWare";;"4"
"5";"Rockstar Games";"Michael Hunter";"Aaron Garbut";"Dan Houser, James Worrall, DJ Pooh";"Adam Fowler, Obbe Vermeij";"Rockstar North";"RenderWare";;"5"
"6";"Rockstar Games";"John Cacavas, Sonia Slany, K. Tatham";"Aaron Garbut, Ian Bowden";"Dan Houser, James Worrall, David Bland";"Obbe Vermeij, Adam Fowler, Andrew Greensmith, Matthew Shepcar";"Rockstar Leeds, Rockstar North";;;"6"
"7";"Rockstar Games";"Stuart Hart, Steven Stern, Thomas Hirschmann";"Aaron Garbut, Ian Bowden";"Dan Houser,  David Bland";"Obbe Vermeij, Adam Fowler, Alexander Roger, Al Dukes, Andrew Greensmith";"Rockstar Leeds, Rockstar North";;;"7"
"8";"Rockstar Games";"Michael Hunter";"Aaron Garbut";"Dan Houser, Rupert Humphries";"Adam Fowler, Alexander Roger, Obbe Vermeij";"Rockstar North";"Rockstar Advanced Game Engine (RAGE)";;"8"
"9";"Rockstar Games";"Stuart Hart";"Aaron Garbut";"Dan Houser, Rupert Humphries";"Adam Fowler, Alexander Roger, Obbe Vermeij";"Rockstar North";"Rockstar Advanced Game Engine (RAGE)";;"9"
"10";"Rockstar Games";"Aaron Johnston, Jesse Murphy, Avi Bortnick";"Aaron Garbut";"Dan Houser, Rupert Humphries";"Adam Fowler";"Rockstar North";"Rockstar Advanced Game Engine (RAGE)";;"10"
"11";"Rockstar Games";"Tangerine Dream, Woody Jackson, The Alchemist, Oh No";"Aaron Garbut";"Dan Houser, Rupert Humphries, Michael Unsworth";"Adam Fowler";"Rockstar North";"Rockstar Advanced Game Engine (RAGE)";"Leslie Benzies";"11"
"12";"Electronic Arts (EA)";"Jeff van Dyck,?Saki Kaskas";"Markus Tessmann";;"Brad Gour";"EA Canada";;;"12"
"13";"Electronic Arts (EA)";"Saki Kaskas, Jeff van Dyck, Alistair Hirst";"Scott Jackson, Kent Maclagan";"Gregg Giles, Richard Mul, Scott Blackwood";"Laurent Ancessi, David Lucas";"EA Canada?(PS), EA Seattle?(PC)";;;"13"
"14";"Electronic Arts (EA)";"Rom Di Prisco, Saki Kaskas, Matt Ragan, Alistair Hirst, Crispin Hands";"Scott Jackson (PS1), Peter King (PS1), Stefan Schwartz (PC), Steve M. Suhy (PC)";"Tony Whitney";"Brad Gour (PS1), David Lucas (PS1), Sam Deasy (PC)";"EA Canada?(PS), EA Seattle?(PC)";;"Craig Sullivan";"14"
"15";"Electronic Arts (EA)";"Rom Di Prisco, Saki Kaskas, Crispin Hands";;;"Daniel Teh (PS1), Sam Deasy (PC)";"EA Canada?(PS), EA Seattle?(PC)";;;"15"
"16";"Electronic Arts (EA)";"Thomas Colin, Manuel Lauvernier, Saki Kaskas (PC)";"Jean-Marie Nazaret, Robert Adams (PC)";;"Bertrand Felicite, Pierre-Arnaud Lambert, S?bastien Tixier, Brad Gour (P";"Eden Studios (PS), EA Canada (PC), Pocketeers (GBA)";;;"16"
"17";"Electronic Arts (EA)";;;;;"EA Black Box, EA Seattle (GameCube, Xbox & Windows)";"EAGL";;"17"
"18";"Electronic Arts (EA)";;;;;"EA Black Box, Pocketeers (GBA)";"EAGL";;"18"
"19";"Electronic Arts (EA)";"Tom Salta";;;;"EA Black Box, Pocketeers (GBA)";"EAGL 2";;"19"
"20";"Electronic Arts (EA)";"Paul Linford";;;;"EA Canada, EA Black Box";"EAGL 3";;"20"
"21";"Electronic Arts (EA)";"Trevor Morris";;;;"EA Canada, EA Black Box (PC), Rovio Mobile (mobile), Global VR (arcade)";"EAGL 3";"Dave 'Foots' Footman";"21"
"22";"Electronic Arts (EA)";"Tom Holkenborg";"Wilson Tang, Eduardo Agostini";;;"EA Black Box";"EAGL 4";"Elin Anderson";"22"
"23";"Electronic Arts (EA)";"Paul Haslinger, Richard Dekkard, Alex Mauer (mobile)";;;;"EA Black Box, Exient Entertainment (Wii/PS2), Firebrand Games (DS)";"EAGL 4";"Joseph A. Hodges, Kody Sabourin";"23"
"24";"Electronic Arts (EA)";"Stephen Baysted, Mick Gordon, Mark Morgan";;;"Ged Keaveney";"Slightly Mad Studios, EA Bright Light (PSP)";"MADNESS";"Andy Garton";"24"
"25";"Electronic Arts (EA)";"Pedro Bromfman";;;;"EA Montreal, Firebrand Games";;;"25"
"26";"Electronic Arts (EA)";"Mick Gordon";"Mike Hayes";;;"Quicklime Games, EA Singapore";"EAGL 3";"Rod Chong";"26"
"27";"Electronic Arts (EA)";"Marios Takoushis, Vanesa Lorena Tate";"Henry LaBounta, Yuta Nakamura";" Tracy Lynch Britton";;"Criterion Games";"Chameleon";"Fiona Sperry, Craig Sullivan";"27"
"28";"Electronic Arts (EA)";"Heavy Melody Music, Ramin Djawadi, Troels Folmann, Stephen Baysted, Mick Gordon, Mike Reagan";;"Will Porter";;"Slightly Mad Studios, Straight Right";"MADNESS";"Ian Bell";"28"
"29";"Electronic Arts (EA)";"Chris Green, Vanesa Lorena Tate";"Kirk Gibsons";"Alex De Rakoff";"Eric Turmel";"Criterion Games";"Frostbite 2";"Justin Wiebe";"29"
"30";"Electronic Arts (EA)";"Chris Green, Vanesa Lorena Tate";;"Andrew S. Walsh";;"Criterion Software";"Chameleon";"Craig Sullivan, Andrew S. Walsh ";"30"
"31";"Electronic Arts (EA)";"Vanesa Lorena Tate";"Christopher Kristiansson";"Will Staples";"Christian Holmqvist";"EA Gothenburg, Criterion Software";"Frostbite 3";"Craig Sullivan";"31"
"32";"Electronic Arts (EA)";"Jamie Andersen";"Steve Aoki";;;"Firemonkeys Studios";"Osiris mobile engine";;"32"
"33";"Electronic Arts (EA)";"Photek";"Abdul Khaliq";"Daniel Roy Zack Betka Ben Blumenthal Mikael Hedberg";;"Criterion Games";"Frostbite";;"33"
"34";"Electronic Arts (EA)";"Joseph Trapanese";"Abdul Khaliq";"Daniel Roy, Zack Betka, Ben Blumenthal, Mikael Hedberg";;"EA Gothenburg";"Frostbite";"William Ho";"34"
"35";"Electronic Arts (EA)";"Pedro Bromfman";"Darren White";;"Nicolas Mercier";"Ghost Games";"Frostbite 3";"Riley Cooper";"35"
"36";"CD Projekt";"Marcin Przyby?owicz, P. T. Adamczyk, Paul Leonard-Morgan";"Katarzyna Redesiuk";"Marcin Blacha, Jakub Szama?ek, Stanis?aw ?wi?cicki";;"CD Projekt Red";"REDengine 4";"Adam Badowski";"36"
"37";"Sony Interactive Entertainment";"Gustavo Santaolalla";"Erick Pangilinan, Nate Wells";"Neil Druckmann";"Travis McIntosh, Jason Gregory";"Naughty Dog";"Unreal Engine 4";"Bruce Straley, Neil Druckmann";"37"
"38";"Activision";"Michael Giacchino";"Justin Thomas Michael Boon Ursula Escher Chance Glasco";"Michael Schiffer";"Jason West";"Infinity Ward";"id Tech 3";"Ken Turner";"38"
"39";"Activision";"Graeme Revell";"Michael Boon, Ursula Escher";"Michael Schiffer";"Eric Pierce";"Infinity Ward";"IW engine v2.0";"Jason West";"39"
"40";"Activision";"Joel Goldsmith";"Brian Anderson, Alex Bortoluzzi";"Marc Guggenheim";;"Treyarch";"Treyarch NGL";"Richard Farelly";"40"
"41";"Activision";"Stephen Barton";"Richard Kriegler, Chris Cherubini, Joel Emslie, Robert Gaines";"Jesse Stern";"Richard Baker, Robert Field, Francesco Gigliotti, Earl Hammon, Jr";"Infinity Ward";"IW 3.0";"Jason West";"41"
"42";"Activision";"Sean Murray";"Colin Whitney, Brian Anderson";"Craig Houston, Patrick Doody, Chris Valenziano";;"Treyarch";"IW 3.0";"Cesar Stastny";"42"
"43";"Activision";"Lorne Balfe";;"Jesse Stern";;"Infinity Ward";"IW 4.0";"Jason West";"43"
"44";"Activision";"Sean Murray";"Colin Whitney, James H. Dargie";"Craig Houston, Dave Anthony, Corky Lehmkuhl";"David King, Trevor Walker, James Snider";"Treyarch";"IW 3.0";"Dave Anthony, Corky Lehmkuhl";"44"
"45";"Activision";"Brian Tyler";"Joseph Salud";"Paul Haggis, Will Staples";;"Infinity Ward, Sledgehammer Games";"IW 5.0";"Steve Pearce, Steve Ackrich";"45"
"46";"Activision";"Jack Wall";"Colin Whitney";"Dave Anthony, Craig Houston, David S. Goyer";"David King, Trevor Walker, James Snider";"Treyarch";"IW Engine";"Dave Anthony";"46"
"47";"Activision";"David Buckley";;"Stephen Gaghan";;"Infinity Ward";"IW Engine";;"47"
"48";"Activision";"audiomachine";;"John MacInnes, Eric Hirshberg, Mark Boal";;"Sledgehammer Games";;"Glen Schofield, Michael Condrey";"48"
"49";"Activision";"Jack Wall";"Colin Whitney";"Craig Houston";;"Treyarch";"IW Engine";"Jason Blundell, Dan Bunting";"49"
"50";"Activision";"Sarah Schachner";;"Taylor Kurosaki, Brian Bloom";;"Infinity Ward";"IW Engine";"Jacob Minkoff, Jordan Hirsh, Brian Bright";"50"
"51";"Activision";"Wilbert Roget II";;"Jeremy Breslau";;"Sledgehammer Games";;"Glen Schofield, Michael Condrey";"51"
"52";"Activision";"Jack Wall";"Bruce Hall";"Dave Anthony, Craig Houston";;"Treyarch";"IW Engine";"Jason Blundell, Dan Bunting";"52"
"53";"Activision";"Sarah Schachner";;"Brian Bloom, Justin Harris, Taylor Kurosaki, Ben Chaney";;"Infinity Ward";;;"53"
"54";"Gathering of Developers";"K?rtsy Hatakka, Kimmo Kajasto, Perttu Kivilaakso, Health";;"Sam Lake, Dan Houser, Michael Unsworth, Rupert Humphrie";;"Remedy Entertainment (2001?2003), Rockstar Studios (2012)";;;"54"
