"gid";"gname";"genre";"mode";"platform"
"1";"Grand Theft Auto";"Action-adventure";"Single-player";"Android, Dreamcast, Fire OS, Game Boy Advance, Game Boy Color, iOS, MacOS, Microsoft Windows, MS-DOS, Nintendo DS, PlayS"
"2";"Grand Theft Auto 2";"Action-adventure";"Single-player, multiplayer";"Microsoft Windows, PlayStation, Dreamcast, Game Boy Color"
"3";"Grand Theft Auto 3: Liberty City";"Action-adventure";"Single-player";"PlayStation 2, Microsoft Windows, Xbox, Mac OS X, Android, iOS, Fire OS"
"4";"Grand Theft Auto: Vice City";"Action-adventure";"Single-player";"PlayStation 2, Microsoft Windows, Xbox, Mac OS X, Android, iOS, Fire OS"
"5";"Grand Theft Auto: San Andreas";"Action-adventure";"Single-player, multiplayer";"PlayStation 2, Microsoft Windows, Xbox, Mac OS X, Android, iOS, Fire OS, Windows Phone, Xbox 360, PlayStation 3"
"6";"Grand Theft Auto: Liberty City Stories";"Action-adventure";"Single-player, multiplayer";"PlayStation Portable, PlayStation 2, iOS, Android, Fire OS"
"7";"Grand Theft Auto: Vice City Stories";"Action-adventure";"Single-player, multiplayer";"PlayStation Portable, PlayStation 2"
"8";"Grand Theft Auto IV";"Action-adventure";"Single-player, multiplayer";"PlayStation 3, Xbox 360, Microsoft Windows"
"9";"Grand Theft Auto IV: The Lost and Dammed";"Action-adventure";"Single-player, multiplayer";"PlayStation 3, Xbox 360, Microsoft Windows"
"10";"Grand Theft Auto IV: The Ballad of the Gay Tony";"Action-adventure";"Single-player, multiplayer";"PlayStation 3, Xbox 360, Microsoft Windows"
"11";"Grand Theft Auto V";"Action-adventure";"Single-player, multiplayer";"PlayStation 3, PlayStation 4, Xbox 360, Xbox One, Microsoft Windows"
"12";"The Need For Speed";"Racing";"Single-player, multiplayer";"3DO, Android, Arcade, DOS, Game Boy Advance, iOS, Kindle Fire, Mac OS X, Microsoft Windows, Mobile game, MS-DOS, Nintend"
"13";"Need For Speed II";"Racing";"Single-player, multiplayer";"PlayStation, Microsoft Windows"
"14";"NFS III: Hot Pursuit";"Racing";"Single-player, multiplayer";"PlayStation, Microsoft Windows"
"15";"NFS: High Stakes";"Racing";"Single-player, multiplayer";"PlayStation, Microsoft Windows"
"16";"NFS: Porsche Unleashed";"Racing";"Single-player, multiplayer";"PlayStation, Microsoft Windows, Game Boy Advance"
"17";"NFS: Hot Pursuit 2";"Racing";"Single-player, multiplayer";"PlayStation 2, GameCube, Xbox, Microsoft Windows"
"18";"NFS: Underground";"Racing";"Single-player, multiplayer";"PlayStation 2, GameCube, Xbox, Microsoft Windows, Game Boy Advance"
"19";"NFS: Underground 2";"Racing";"Single-player, multiplayer";"Microsoft Windows, Game Boy Advance, GameCube, PlayStation 2, Xbox, PlayStation Portable, Nintendo DS, mobile phone"
"20";"NFS: Most Wanted 2005";"Racing";"Single-player, multiplayer";"Microsoft Windows, PlayStation 3, PlayStation Vita, Xbox 360, iOS, Android, Kindle Fire, Wii U"
"21";"NFS: Carbon";"Racing";"Single-player, multiplayer";"Windows, Mac OS X, PlayStation 3, Xbox 360, Wii, PlayStation 2, Xbox, GameCube, Game Boy Advance, Nintendo DS, PlayStati"
"22";"NFS: Pro Street";"Racing";"Single-player, multiplayer";"PlayStation 2, PlayStation 3, PlayStation Portable, Wii, Nintendo DS, Xbox 360, Microsoft Windows"
